Year,BRA ID,Total Monthly Wages,Total Jobs,Total Establishments,Average Monthly Wage,Average age,Industry Diversity,Effective Industry Diversity,Occupation Diversity,Effective Occupation Diversity,Nominal Wage Growth (1 year),Nominal Wage Growth (5 year),Nominal Employee Growth (1 year),Nominal Employee Growth (5 year),Gini coefficient
2012,1ac,241150148.830,125229,6593,1925.670,37.166,386,33.355,490,73.146,0.134,0.153,0.032,0.063,0.458
2012,1am,1156787592.580,616377,19828,1876.750,36.175,550,75.359,573,97.572,0.122,0.131,0.028,0.049,0.454
2012,1ap,281022692.840,122956,5537,2285.560,36.765,360,32.812,477,56.526,0.145,0.160,0.037,0.068,0.475
2012,1pa,1809379318.580,1052344,50730,1719.380,35.935,556,63.795,582,95.780,0.153,0.172,0.014,0.057,0.453
2012,1ro,646128561.830,365142,26026,1769.530,35.225,513,50.065,555,75.532,0.115,0.190,0.034,0.082,0.434
2012,1rr,185529141.830,93777,4071,1978.410,36.425,319,19.557,447,51.731,0.096,0.239,0.040,0.153,0.479
2012,1to,454228558.060,246360,20160,1843.760,35.716,473,39.536,539,81.082,0.116,0.159,0.016,0.039,0.473
2012,2al,713645129.580,505132,26269,1412.790,36.907,497,38.818,557,66.843,0.128,0.145,0.014,0.044,0.430
2012,2ba,3593795284.060,2256621,154839,1592.560,36.471,640,93.653,593,103.427,0.098,0.148,-0.002,0.048,0.451
2012,2ce,2018315176.990,1423648,77169,1417.710,36.093,608,86.147,587,94.061,0.135,0.169,0.013,0.061,0.453
2012,2ma,1059634357.220,696348,35542,1521.700,36.891,540,48.103,569,76.869,0.164,0.191,0.034,0.075,0.427
2012,2pb,883808581.060,628047,34793,1407.230,37.611,555,41.385,567,75.324,0.111,0.167,0.024,0.057,0.429
2012,2pe,2657461240.570,1694647,92802,1568.150,36.454,626,98.544,587,98.017,0.153,0.181,0.030,0.065,0.445
2012,2pi,621062577.520,418380,24659,1484.450,37.714,513,43.154,551,77.968,0.161,0.182,0.065,0.070,0.436
2012,2rn,963516393.180,602226,37070,1599.930,37.096,554,66.057,571,78.570,0.126,0.151,0.015,0.038,0.464
2012,2se,691721576.250,388507,22845,1780.460,36.665,513,65.885,551,93.275,0.121,0.149,0.007,0.039,0.497
2012,3df,4300669893.440,1181649,55369,3639.550,36.144,539,65.651,580,61.125,0.088,0.123,0.023,0.046,0.556
2012,3go,2428077535.270,1450065,122869,1674.460,35.457,615,114.598,585,95.284,0.194,0.173,0.050,0.065,0.429
2012,3ms,1063611840.660,617193,55806,1723.310,35.838,565,94.160,580,105.873,0.128,0.157,0.033,0.055,0.442
2012,3mt,1294205271.210,744558,68034,1738.220,34.910,569,89.470,580,96.971,0.177,0.164,0.050,0.054,0.418
2012,4es,1570056281.670,926336,72449,1694.910,35.789,586,114.748,580,114.181,0.129,0.137,0.029,0.045,0.444
2012,4mg,7972327566.280,4928225,420174,1617.690,35.995,655,140.609,595,123.607,0.121,0.142,0.017,0.041,0.439
2012,4rj,9852033302.240,4461706,251934,2208.130,37.652,651,129.410,593,107.491,0.132,0.136,0.026,0.040,0.513
2012,4sp,29595858766.920,13783541,876427,2147.190,35.807,664,182.593,595,124.774,0.114,0.130,0.029,0.045,0.460
2012,5pr,5288474843.510,3033665,257841,1743.260,35.759,653,150.310,590,120.418,0.145,0.150,0.039,0.050,0.419
2012,5rs,5391304764.980,2993031,260956,1801.290,36.212,655,162.757,593,123.780,0.132,0.127,0.027,0.044,0.440
2012,5sc,3584358300.960,2103002,182774,1704.400,34.786,638,160.401,593,124.874,0.133,0.141,0.022,0.044,0.409
